song_id,track_description,lyrics_sentiment
1,Summer Walker - Girls Need Love (Acoustic),
2,Khamari - These Four Walls,
3,Beyonce - 1+1,
4,Alex Isley - Into Orbit,
5,Kendrick Lamar - LOYALTY. (FEAT. RIHANNA.),
6,Hosier - Take Me to Church,
7,Kehlani - Toxic,
8,SiR - SUGAR,
9,Smino - Innamission,
10,Kendrick Lamar - Money Trees (feat. Jay Rock),
11,Sabrina Claudio - Tastes So Good,
12,Gunna - fukumean,
13,Young Thug - Oh U Went (feat. Drake),
14,Young Thug - Parade on Cleveland (feat. Drake),
15,Young Thug - Millions,
16,Jazmine Sullivan - Selfish,
17,Jazmine Sullivan - Bodies (Intro),
18,SiR - You Can't Save Me,
19,Arin Ray - We Ain't Homies (feat. YG),
20,SiR - The Recipe,
21,J Hus - Who Told You (feat. Drake),
22,Megan Thee Stallion - Eat It,
23,"Tyler, The Creator - DOGTOOTH",
24,NxWorries - Suede,
25,The Internet - Girl (feat. KAYTRANADA),
26,Beenie Man & Future Fambo - Rum & Redbull,
27,Burna Boy - Sittin' On Top Of The World (Mixed),
28,The Alchemist - E. Coli (feat. Earl Sweatshirt),
29,"Freddie Gibbs & The Alchemist - Something to Rap About (feat. Tyler, The Creator)",
30,Brent Faiyaz - ROLE MODEL,
31,Jacquees - Say Yea,
32,Justin Timberlake & T.I. - My Love,
33,Michael Jackson & Justin Timberlake - Love Never Felt So Good,
34,Summer Walker - Deep,
35,Summer Walker - Shame,
36,Summer Walker - Just Like Me,
37,Beyonce - Upgrade U,
38,Beyonce - AMERICA HAS A PROBLEM (feat. Kendrick Lamar),
39,Monica - Don't Gotta Go Home (feat. DMX),
40,Mary J. Blige - I Can Love You (feat. Lil' Kim),
41,Larry June - Watering My Plants,
42,Doja Cat - Paint The Town Red,
43,Larry June - Smoothies In 1991,
44,Terrace Martin & Alex Isley - Paradise,
45,USHER - Nice & Slow,
46,USHER - Slow Jam (feat. Monica),
47,Laufey - Falling Behind,
48,Jorja Smith - Lately,
49,Jorja Smith - What if my heart beats faster?,
50,Jorja Smith - Little Things,
51,Jorja Smith - Falling or flying,
52,Jorja Smith - Feelings (feat. J Hus),
53,Jorja Smith - Greatest Gift (feat. Lila Ike),
54,Cleo Sol - There Will Be No Crying,
55,Cleo Sol - Reason,
56,Cleo Sol - In Your Own Home,
57,Victoria Monét - Cadillac (A Pimp's Anthem),
58,Victoria Monét - On My Mama,
59,Lady London & Dreezy - Yea Yea,
60,Juls & Baby S.O.N - Injabulo,
61,"KAYTRAMINE, Amine KAYTRANADA & Freddie Gibbs - letstalkaboutit",
62,"KAYTRAMINE, Amine, KAYTRANADA & Big Sean - Master P",
63,Smino - Long Run (feat. Via Rosa),
64,Smino - Ricky Millions (feat. Drea Smith),
65,"Tyler, The Creator - BEST INTEREST",
66,D4L - Laffy Taffy (Explicit),
67,Moonchild - The Other Side,
68,Moonchild - Sweet Love,
69,Moonchild - Money,
70,Moonchild - Get to Know It,
71,Moonchild - The List,
72,Marvin Sapp - My Testimony,
73,Israel Jones & Giahni Bosquet - Both Sides,
74,Frank Ocean - Nikes,
75,Kendrick Lamar - LOVE. (FEAT. Zacari),
76,Meek Mill - 24/7 (feat. Ella Mai),
77,Eric Bellinger - G.O.A.T. (feat. ARoc),
78,Sonder - What You Heard,
79,Daniel Caesar - Get You (feat. Kali Uchis),
80,Miguel - Sky Walker (feat. Travis Scott),
81,Brent Faiyaz - Trust,
82,A Boogie wit da Hoodie - Drowning (feat. Kodak Black),
83,Summer Walker & Bryson Tiller - Playing Games (Extended Version),
84,Big Sean & Hit-Boy - Loyal To A Fault (feat. Bryson Tiller & Lil Durk),
85,Bryson Tiller - Somethin Tells Me,
86,Bryson Tiller - For However Long,
87,Bryson Tiller - Exchange,
88,DJ Khaled - Wild Thoughts (feat. Rihanna & Bryson Tiller),
89,Wale - Love... (Her Fault) [feat. Bryson Tiller],
90,Bryson Tiller - Don't,
91,Bryson Tiller - Been That Way,
92,Bryson Tiller - Outta Time (feat. Drake),
93,Bryson Tiller - Let Em' Know,
94,Jazmine Sullivan & Bryson Tiller - Insecure (from the HBO Original Series “Insecure”),
95,Bryson Tiller - Run Me Dry,
96,H.E.R. - Could've Been (feat. Bryson Tiller),
97,Bryson Tiller - Right My Wrongs,
98,Bryson Tiller - Open Interlude,
99,Bryson Tiller - Overtime,
100,Bryson Tiller - Don't,
101,Janine - Lose My Mind,
102,Kehlani - more than i should (feat. Jessie Reyez),
103,Kehlani - Hate the Club (feat. Masego),
104,Kehlani - Distraction,
105,Kehlani - In My Feelings,
106,Kehlani - CRZY,
107,Kehlani - Piece Of Mind,
108,Syd - Out Loud (feat. Kehlani),
109,Kehlani - Nights Like This (feat. Ty Dolla $ign),
110,Kehlani - The Way (feat. Chance the Rapper),
111,Kehlani - Undercover,
112,Kehlani - Honey,
113,Kehlani - You Should Be Here,
114,Kehlani - Personal,
115,Kehlani - everything,
116,Kehlani - Down for You (feat. BJ The Chicago Kid),
117,MaanDaSwan - Near Me,
118,Leauxeyed - Mondo (feat. Brandom the Goat),
119,Mike Fasho - 23,
120,Israel Jones & Giahni Bosquet - Slim's Send Off (feat. SlimTheWordsmith),
121,Israel Jones & Giahni Bosquet - The Sun Shines On Us All,
122,Israel Jones & Giahni Bosquet - Above Me (feat. Boma),
123,Israel Jones & Giahni Bosquet - Don't Look Far Away,
124,Israel Jones & Giahni Bosquet - Cutting Pedals,
125,Israel Jones & Giahni Bosquet - You & I,
126,Israel Jones & Giahni Bosquet - Sosa Said,
127,Israel Jones & Giahni Bosquet - Show Love,
128,Israel Jones & Giahni Bosquet - Sorry!,
129,Israel Jones & Giahni Bosquet - O'shea,
130,Israel Jones & Giahni Bosquet - Tangerines (feat. Cyd),
131,Israel Jones & Giahni Bosquet - Love Like This,
132,Israel Jones & Giahni Bosquet - Wipe Me Down,
133,Israel Jones & Giahni Bosquet - Shine Like One,
134,DeWayne Woods - Let Go,
135,Marvin Sapp - The Best In Me,
136,Donald Lawrence & The Tri-City Singers - Deliver Me (This Is My Exodus) [feat. Le'Andria Johnson],
137,Slum Village - Selfish (Radio),
138,Diggy - Do It Like You (feat. Jeremih),
139,Marshmello & Brent Faiyaz - Fell In Love,
140,Chris Brown - Ya Man Ain't Me,
141,Latto - Put It On Da Floor,
142,Marvin Sapp - Praise Him In Advance,
143,Gunna - Banking On Me,
144,Lauryn Hill - Can't Take My Eyes Off of You (I Love You Baby),
145,Yolanda Adams - Victory,
146,Diddy - Dirty Money - Hello Good Morning (Remix) [feat. Nicki Minaj & Rick Ross],
147,H.E.R. - Say It Again,
148,Kenyon Dixon - Sky's the Limit (feat. V. Bozeman),
149,Tammy Rivera - All These Kisses,
150,Trey Songz - Ooo,
151,"Kevin ""Chocolate Droppa"" Hart & Trey Songz - Push It On Me",
152,Beyonce - CHURCH GIRL,
153,Chloe x Halle - Forgive Me,
154,Jekalyn Carr - Greater is Coming,
155,Rihanna - Work (feat. Drake),
156,Daniel Caesar - Hold Me Down,
157,The Weeknd - I Feel It Coming (feat. Daft Punk),
158,Tiffany Evans - Promise Ring (feat. Ciara),
159,"Snoh Aalegra - NEON PEACH (feat. Tyler, The Creator)",
160,Timbaland - Say Something (Featuring Drake),
161,Kid Ink - Was It Worth It (feat. Sterling Simms),
162,Miley Cyrus - Flowers,
163,Trey Songz - Song Goes Off,
164,THE CARTERS - SUMMER,
165,Raveena - Salt Water,
166,Raveena - Floating (feat. Hope Tala),
167,Raveena - Stone,
168,Raveena - If Only,
169,Raveena - Love Child,
170,Raveena - Endless Summer,
171,Aaliyah - Never No More,
172,Rihanna - If It's Lovin' That You Want,
173,Rihanna - Pon de Replay,
174,RDX - Kotch,
175,J Capri & Charly Black - Whine & Kotch (Radio Edit),
176,Future - The Percocet & Stripper Joint,
177,Drake - Nice For What,
